Metric,Effect,Pr(>F)
VS,(Intercept),0.000977354
VS,Source,9.01E-06
VS,Treatment,0.321778671
VS,Temperature,0.000746254
VS,Day,0.006952565
VS,Source:Treatment,0.002201855
VS,Treatment:Temperature,0.465927319
VS,Residuals,
CP,(Intercept),8.00E-08
CP,Source,0.006708115
CP,Treatment,0.012715846
CP,Temperature,0.052705046
CP,Day,3.19E-13
CP,Source:Treatment,0.767046154
CP,Treatment:Temperature,0.021965854
CP,Residuals,
NDF,(Intercept),9.04E-06
NDF,Source,0.749951601
NDF,Treatment,0.312159738
NDF,Temperature,0.285366853
NDF,Day,5.75E-07
NDF,Source:Treatment,0.385614363
NDF,Treatment:Temperature,0.972957462
NDF,Residuals,
Lipids,(Intercept),0.572200417
Lipids,Source,0.003251375
Lipids,Treatment,0.886749465
Lipids,Temperature,0.058206861
Lipids,Day,0.171166106
Lipids,Source:Treatment,0.496695532
Lipids,Treatment:Temperature,0.921568548
Lipids,Residuals,
